occupation,language,word_form_type,translation_id,translation
lawyer,hebrew,female_form,t1,עורכת_דין
doctor/physician,hebrew,female_form,t1,רופאה
professor,hebrew,female_form,t1,פרופסורית
governor,hebrew,female_form,t1,מושלת
judge,hebrew,female_form,t1,שופטת
sailor,hebrew,female_form,t1,מלח
postman/postwoman,hebrew,female_form,t1,דורית
mechanic,hebrew,female_form,t1,מכונאית
hunter,hebrew,female_form,t1,ציידת
firefighter,hebrew,female_form,t1,כבאית
dancer,hindi,female_form,t1,नर्तकी
nurse,hindi,female_form,t1,नर्स
singer,hindi,female_form,t1,गायक[गायिका]
cleaner,hindi,female_form,t1,सफाईकर्मी
secretary,hindi,female_form,t1,सहायक[सहायिका]
waiter,hindi,female_form,t1,महिला_बैरा
journalist,hindi,female_form,t1,पत्रकार
baker,hindi,female_form,t1,बेकर
author,hindi,female_form,t1,लेखक[लेखिका]
athlete,hindi,female_form,t1,खिलाड़ी
lawyer,hindi,female_form,t1,वकील
doctor/physician,hindi,female_form,t1,चिकित्सक
professor,hindi,female_form,t1,प्राध्यापक
governor,hindi,female_form,t1,राज्यपाल
judge,hindi,female_form,t1,न्यायाधीश
sailor,hindi,female_form,t1,नाविक
postman/postwoman,hindi,female_form,t1,डाकिया
mechanic,hindi,female_form,t1,मिस्त्री
hunter,hindi,female_form,t1,शिकारी
firefighter,hindi,female_form,t1,अग्निशमन_कर्मचारी
dancer,"Serbian (latin)
",female_form,t1,plesačica
nurse,"Serbian (latin)
",female_form,t1,tehničar
singer,"Serbian (latin)
",female_form,t1,pevačica
cleaner,"Serbian (latin)
",female_form,t1,čistačica
secretary,"Serbian (latin)
",female_form,t1,sekretarica
waiter,"Serbian (latin)
",female_form,t1,konobarica
journalist,"Serbian (latin)
",female_form,t1,novinarka
baker,"Serbian (latin)
",female_form,t1,pekarka
author,"Serbian (latin)
",female_form,t1,autorka
athlete,"Serbian (latin)
",female_form,t1,sportistkinja
lawyer,"Serbian (latin)
",female_form,t1,advokatica
doctor/physician,"Serbian (latin)
",female_form,t1,doktorka
professor,"Serbian (latin)
",female_form,t1,profesorka
governor,"Serbian (latin)
",female_form,t1,guverner
judge,"Serbian (latin)
",female_form,t1,sudija
sailor,"Serbian (latin)
",female_form,t1,mornar
postman/postwoman,"Serbian (latin)
",female_form,t1,poštar
mechanic,"Serbian (latin)
",female_form,t1,mehaničarka
hunter,"Serbian (latin)
",female_form,t1,lovac
firefighter,"Serbian (latin)
",female_form,t1,vatrogasac
dancer,serbian (cyrillic),female_form,t1,плесачица
nurse,serbian (cyrillic),female_form,t1,техничар
singer,serbian (cyrillic),female_form,t1,певачица
cleaner,serbian (cyrillic),female_form,t1,чистачица
secretary,serbian (cyrillic),female_form,t1,секретарица
waiter,serbian (cyrillic),female_form,t1,конобарица
journalist,serbian (cyrillic),female_form,t1,новинарка
baker,serbian (cyrillic),female_form,t1,пекарка
author,serbian (cyrillic),female_form,t1,ауторка
athlete,serbian (cyrillic),female_form,t1,спортисткиња
lawyer,serbian (cyrillic),female_form,t1,адвокатица
doctor/physician,serbian (cyrillic),female_form,t1,докторка
professor,serbian (cyrillic),female_form,t1,професорка
governor,serbian (cyrillic),female_form,t1,гувернер
judge,serbian (cyrillic),female_form,t1,судија
sailor,serbian (cyrillic),female_form,t1,морнар
postman/postwoman,serbian (cyrillic),female_form,t1,поштар
mechanic,serbian (cyrillic),female_form,t1,механичарка
hunter,serbian (cyrillic),female_form,t1,ловац
firefighter,serbian (cyrillic),female_form,t1,ватрогасац
dancer,indonesian,female_form,t1,penari
nurse,indonesian,female_form,t1,perawat
singer,indonesian,female_form,t1,penyanyi
cleaner,indonesian,female_form,t1,petugas_kebersihan
secretary,indonesian,female_form,t1,sekretaris
waiter,indonesian,female_form,t1,pelayan
journalist,indonesian,female_form,t1,jurnalis
baker,indonesian,female_form,t1,tukang_roti
author,indonesian,female_form,t1,pengarang
athlete,indonesian,female_form,t1,atlet
lawyer,indonesian,female_form,t1,pengacara
doctor/physician,indonesian,female_form,t1,dokter
professor,indonesian,female_form,t1,profesor
governor,indonesian,female_form,t1,gubernur
judge,indonesian,female_form,t1,mengadili
sailor,indonesian,female_form,t1,kelasi
postman/postwoman,indonesian,female_form,t1,tukang_pos
mechanic,indonesian,female_form,t1,montir
hunter,indonesian,female_form,t1,berburu
firefighter,indonesian,female_form,t1,petugas_pemadam_kebakaran
dancer,italian,female_form,t1,ballerina
nurse,italian,female_form,t1,infermiera
singer,italian,female_form,t1,cantante
cleaner,italian,female_form,t1,inserviente
secretary,italian,female_form,t1,segretaria
waiter,italian,female_form,t1,cameriera
journalist,italian,female_form,t1,giornalista
baker,italian,female_form,t1,fornaia
author,italian,female_form,t1,autrice
athlete,italian,female_form,t1,atleta
lawyer,italian,female_form,t1,avvocatessa
doctor/physician,italian,female_form,t1,dottoressa
professor,italian,female_form,t1,professoressa
governor,italian,female_form,t1,governatrice
judge,italian,female_form,t1,giudice
sailor,italian,female_form,t1,marinaio
postman/postwoman,italian,female_form,t1,postina
mechanic,italian,female_form,t1,meccanico
hunter,italian,female_form,t1,cacciatrice
firefighter,italian,female_form,t1,pompiere
dancer,japanese,female_form,t1,ダンサ
nurse,japanese,female_form,t1,看護婦
singer,japanese,female_form,t1,歌手
cleaner,japanese,female_form,t1,清掃員
secretary,japanese,female_form,t1,秘書
waiter,japanese,female_form,t1,ウェイタレス
journalist,japanese,female_form,t1,記者
baker,japanese,female_form,t1,パン屋
author,japanese,female_form,t1,作者
athlete,japanese,female_form,t1,選手
lawyer,japanese,female_form,t1,弁護士
doctor/physician,japanese,female_form,t1,医者
professor,japanese,female_form,t1,教授
governor,japanese,female_form,t1,知事
judge,japanese,female_form,t1,裁判官
sailor,japanese,female_form,t1,船員
postman/postwoman,japanese,female_form,t1,郵便配達員
mechanic,japanese,female_form,t1,メカニック
hunter,japanese,female_form,t1,猟師
firefighter,japanese,female_form,t1,消防士
dancer,dutch,female_form,t1,danseres
nurse,dutch,female_form,t1,zuster
singer,dutch,female_form,t1,zangeres
cleaner,dutch,female_form,t1,schoonmaakster
secretary,dutch,female_form,t1,secretaresse
waiter,dutch,female_form,t1,serveerster
journalist,dutch,female_form,t1,journalist
baker,dutch,female_form,t1,bakker
author,dutch,female_form,t1,schrijfster
athlete,dutch,female_form,t1,atlete
lawyer,dutch,female_form,t1,advocaat
doctor/physician,dutch,female_form,t1,arts
professor,dutch,female_form,t1,professor
governor,dutch,female_form,t1,gouverneur
judge,dutch,female_form,t1,rechter
sailor,dutch,female_form,t1,zeilster
postman/postwoman,dutch,female_form,t1,postbode
mechanic,dutch,female_form,t1,monteur
hunter,dutch,female_form,t1,jager
firefighter,dutch,female_form,t1,brandweervrouw
dancer,malay,female_form,t1,penari
nurse,malay,female_form,t1,jururawat
singer,malay,female_form,t1,penyanyi
cleaner,malay,female_form,t1,pembersih
secretary,malay,female_form,t1,setiausaha
waiter,malay,female_form,t1,pelayan
journalist,malay,female_form,t1,wartawan
baker,malay,female_form,t1,pembakar_roti
author,malay,female_form,t1,penulis
athlete,malay,female_form,t1,atlet
lawyer,malay,female_form,t1,peguam
doctor/physician,malay,female_form,t1,doktor
professor,malay,female_form,t1,profesor
governor,malay,female_form,t1,pemerintah
judge,malay,female_form,t1,hakim
sailor,malay,female_form,t1,pelayar
postman/postwoman,malay,female_form,t1,posmen
mechanic,malay,female_form,t1,mekanik
hunter,malay,female_form,t1,pemburu
firefighter,malay,female_form,t1,ahli_bomba
dancer,korean,female_form,t1,댄서
nurse,korean,female_form,t1,간호사
singer,korean,female_form,t1,가수
cleaner,korean,female_form,t1,청소부
secretary,korean,female_form,t1,비서
waiter,korean,female_form,t1,웨이트리스
baker,korean,female_form,t1,제빵사
author,korean,female_form,t1,작가
athlete,korean,female_form,t1,선수
lawyer,korean,female_form,t1,변호사
doctor/physician,korean,female_form,t1,의사
professor,korean,female_form,t1,교수님
governor,korean,female_form,t1,지배자
judge,korean,female_form,t1,판사
sailor,korean,female_form,t1,선원
postman/postwoman,korean,female_form,t1,우편집배원
mechanic,korean,female_form,t1,정비공
hunter,korean,female_form,t1,사냥꾼
firefighter,korean,female_form,t1,소방관
dancer,norwegian,female_form,t1,danserinne
nurse,norwegian,female_form,t1,skyepleier
singer,norwegian,female_form,t1,sangerinne
cleaner,norwegian,female_form,t1,hushjelp
secretary,norwegian,female_form,t1,sekretær
waiter,norwegian,female_form,t1,oppvartningspike
journalist,norwegian,female_form,t1,journalist
baker,norwegian,female_form,t1,baker
author,norwegian,female_form,t1,forfatterinne
athlete,norwegian,female_form,t1,atlet
lawyer,norwegian,female_form,t1,jurist
doctor/physician,norwegian,female_form,t1,doktor
professor,norwegian,female_form,t1,professor
governor,norwegian,female_form,t1,guvernør
judge,norwegian,female_form,t1,dommer
sailor,norwegian,female_form,t1,sjømann
postman/postwoman,norwegian,female_form,t1,postbud
mechanic,norwegian,female_form,t1,mekaniker
hunter,norwegian,female_form,t1,jeger
firefighter,norwegian,female_form,t1,fyrbøter
dancer,polish,female_form,t1,tańcerka
nurse,polish,female_form,t1,pielęgniarka
singer,polish,female_form,t1,śpiewarka
cleaner,polish,female_form,t1,sprzątarka
secretary,polish,female_form,t1,sekretarka
waiter,polish,female_form,t1,kelnerka
journalist,polish,female_form,t1,dziennikarka
baker,polish,female_form,t1,piekarka
author,polish,female_form,t1,pisarka
athlete,polish,female_form,t1,atletka
lawyer,polish,female_form,t1,prawniczka
doctor/physician,polish,female_form,t1,doktorka
professor,polish,female_form,t1,profesorka
governor,polish,female_form,t1,wojewoda
judge,polish,female_form,t1,sędzina
sailor,polish,female_form,t1,żeglarka
postman/postwoman,polish,female_form,t1,listonoszka
mechanic,polish,female_form,t1,mechanik
hunter,polish,female_form,t1,myśliwy
firefighter,polish,female_form,t1,strażak
dancer,portuguese,female_form,t1,dançarina
nurse,portuguese,female_form,t1,enfermeira
singer,portuguese,female_form,t1,cantora
cleaner,portuguese,female_form,t1,faxineira
secretary,portuguese,female_form,t1,secretária
waiter,portuguese,female_form,t1,garçonete
journalist,portuguese,female_form,t1,jornalista
baker,portuguese,female_form,t1,padeira
author,portuguese,female_form,t1,autora
athlete,portuguese,female_form,t1,atleta
lawyer,portuguese,female_form,t1,advogada
doctor/physician,portuguese,female_form,t1,médica
professor,portuguese,female_form,t1,professora
governor,portuguese,female_form,t1,governadora
judge,portuguese,female_form,t1,juíza
sailor,portuguese,female_form,t1,marinheira
postman/postwoman,portuguese,female_form,t1,carteira
mechanic,portuguese,female_form,t1,mecânica
hunter,portuguese,female_form,t1,caçadora
firefighter,portuguese,female_form,t1,bombeira
dancer,romanian,female_form,t1,dansatoare
nurse,romanian,female_form,t1,infirmier
singer,romanian,female_form,t1,cantareata
cleaner,romanian,female_form,t1,femeie_de_serviciu
secretary,romanian,female_form,t1,secretară
waiter,romanian,female_form,t1,chelneriţă
journalist,romanian,female_form,t1,jurnalista
author,romanian,female_form,t1,autoare
athlete,romanian,female_form,t1,atleta
lawyer,romanian,female_form,t1,avocata
doctor/physician,romanian,female_form,t1,medic
professor,romanian,female_form,t1,profesoara
governor,romanian,female_form,t1,guvernatoare
judge,romanian,female_form,t1,judecatoare
postman/postwoman,romanian,female_form,t1,postarita
mechanic,romanian,female_form,t1,masinista
hunter,romanian,female_form,t1,vanatoare
firefighter,romanian,female_form,t1,pompiera
dancer,swedish,female_form,t1,dansare
nurse,swedish,female_form,t1,sjuksköterska
singer,swedish,female_form,t1,sångerska
cleaner,swedish,female_form,t1,städerska
secretary,swedish,female_form,t1,städare
waiter,swedish,female_form,t1,servitris
journalist,swedish,female_form,t1,journalist
baker,swedish,female_form,t1,bagare
author,swedish,female_form,t1,författarinna
athlete,swedish,female_form,t1,idrottare
lawyer,swedish,female_form,t1,jurist
doctor/physician,swedish,female_form,t1,doktor
professor,swedish,female_form,t1,professor
governor,swedish,female_form,t1,guvernör
judge,swedish,female_form,t1,domare
sailor,swedish,female_form,t1,sjöman
postman/postwoman,swedish,female_form,t1,brevbärare
mechanic,swedish,female_form,t1,mekaniker
hunter,swedish,female_form,t1,jägare
firefighter,swedish,female_form,t1,brandman
dancer,tagalog,female_form,t1,mananayaw
nurse,tagalog,female_form,t1,nars
singer,tagalog,female_form,t1,mang_aawit
cleaner,tagalog,female_form,t1,katulong
secretary,tagalog,female_form,t1,sekretarya
waiter,tagalog,female_form,t1,serbidor
journalist,tagalog,female_form,t1,peryodista
baker,tagalog,female_form,t1,magtitinapay
author,tagalog,female_form,t1,autor
athlete,tagalog,female_form,t1,manlalaro
lawyer,tagalog,female_form,t1,abogado
doctor/physician,tagalog,female_form,t1,doktor
professor,tagalog,female_form,t1,dalubguro
governor,tagalog,female_form,t1,gobernador
judge,tagalog,female_form,t1,hukom
sailor,tagalog,female_form,t1,mandaragat
postman/postwoman,tagalog,female_form,t1,kartero
mechanic,tagalog,female_form,t1,mekaniko
hunter,tagalog,female_form,t1,mangangaso
firefighter,tagalog,female_form,t1,bumbero
dancer,turkish,female_form,t1,dansçi
nurse,turkish,female_form,t1,hemşire
singer,turkish,female_form,t1,şarkıcı
cleaner,turkish,female_form,t1,temizleyici
secretary,turkish,female_form,t1,sekreter
waiter,turkish,female_form,t1,garson
journalist,turkish,female_form,t1,gazeteci
baker,turkish,female_form,t1,fırıncı
author,turkish,female_form,t1,yazar
athlete,turkish,female_form,t1,atlet
lawyer,turkish,female_form,t1,avukat
doctor/physician,turkish,female_form,t1,doktor
professor,turkish,female_form,t1,profesör
governor,turkish,female_form,t1,vali
judge,turkish,female_form,t1,hâkim
sailor,turkish,female_form,t1,denizci
postman/postwoman,turkish,female_form,t1,postacı
mechanic,turkish,female_form,t1,makinist
hunter,turkish,female_form,t1,avcı
firefighter,turkish,female_form,t1,itfaiyeci
dancer,chinese,female_form,t1,舞者
nurse,chinese,female_form,t1,护士
singer,chinese,female_form,t1,歌手
cleaner,chinese,female_form,t1,保洁员
secretary,chinese,female_form,t1,秘书
waiter,chinese,female_form,t1,服务员
journalist,chinese,female_form,t1,记者
baker,chinese,female_form,t1,糕点师
author,chinese,female_form,t1,作家
athlete,chinese,female_form,t1,远动员
lawyer,chinese,female_form,t1,律师
doctor/physician,chinese,female_form,t1,医生
professor,chinese,female_form,t1,教授
judge,chinese,female_form,t1,法官
sailor,chinese,female_form,t1,船员
postman/postwoman,chinese,female_form,t1,邮递员
mechanic,chinese,female_form,t1,技工
hunter,chinese,female_form,t1,猎人
firefighter,chinese,female_form,t1,消防员
dancer,zulu,female_form,t1,umdansi
nurse,zulu,female_form,t1,umhlengikazi
singer,zulu,female_form,t1,umculi
secretary,zulu,female_form,t1,unobhalajikelele
waiter,zulu,female_form,t1,uweta
journalist,zulu,female_form,t1,intatheli
baker,zulu,female_form,t1,umbhaki
author,zulu,female_form,t1,umenzi
athlete,zulu,female_form,t1,umbaleki
lawyer,zulu,female_form,t1,ummeli
doctor/physician,zulu,female_form,t1,udokotela
professor,zulu,female_form,t1,usolwazi
governor,zulu,female_form,t1,umbusi
judge,zulu,female_form,t1,umehluleli
sailor,zulu,female_form,t1,itilosi
postman/postwoman,zulu,female_form,t1,okuthwala_imeyili
mechanic,zulu,female_form,t1,umakheniki
hunter,zulu,female_form,t1,umzingeli
firefighter,zulu,female_form,t1,umacishumlilo
dancer,german,female_form,t1,tänzerin
nurse,german,female_form,t1,pflegerin
singer,german,female_form,t1,sängerin
cleaner,german,female_form,t1,putzfrau
secretary,german,female_form,t1,sekretärin
waiter,german,female_form,t1,bedienung
journalist,german,female_form,t1,journalistin
baker,german,female_form,t1,bäckerin
author,german,female_form,t1,schriftstellerin
athlete,german,female_form,t1,sportlerin
lawyer,german,female_form,t1,rechtsanwältin
doctor/physician,german,female_form,t1,ärztin
professor,german,female_form,t1,professorin
governor,german,female_form,t1,gouverneur
judge,german,female_form,t1,richterin
sailor,german,female_form,t1,matrosin
postman/postwoman,german,female_form,t1,briefträgerin
mechanic,german,female_form,t1,mechanikerin
hunter,german,female_form,t1,jägerin
firefighter,german,female_form,t1,feuerwehrfrau
postman/postwoman,danish,male_form,t2,postmand
doctor/physician,french,male_form,t2,médecin
dancer,"Serbian (latin)
",male_form,t2,igrač
doctor/physician,"Serbian (latin)
",male_form,t2,lekar
dancer,serbian (cyrillic),male_form,t2,играч
doctor/physician,serbian (cyrillic),male_form,t2,лекар
cleaner,italian,male_form,t2,adetto_alle_pulizie
baker,italian,male_form,t2,panettiere
doctor/physician,italian,male_form,t2,medico
governor,italian,male_form,t2,direttore
nurse,dutch,male_form,t2,verpleger
author,dutch,male_form,t2,auteur
athlete,dutch,male_form,t2,sporter
doctor/physician,dutch,male_form,t2,dokter
professor,dutch,male_form,t2,leraar
sailor,dutch,male_form,t2,schipper
nurse,norwegian,male_form,t2,barnepleier
waiter,norwegian,male_form,t2,servitør
author,norwegian,male_form,t2,opphavsmann
lawyer,norwegian,male_form,t2,sakfører
doctor/physician,norwegian,male_form,t2,lege
professor,norwegian,male_form,t2,universitetslærer
governor,norwegian,male_form,t2,stattholder
sailor,norwegian,male_form,t2,matros
postman/postwoman,norwegian,male_form,t2,postmann
firefighter,norwegian,male_form,t2,fyrbøter
dancer,swedish,male_form,t2,dansör
nurse,swedish,male_form,t2,manlig_sjukskoterska
lawyer,swedish,male_form,t2,advokat
doctor/physician,swedish,male_form,t2,läkare
judge,swedish,male_form,t2,bedömare
firefighter,swedish,male_form,t2,brandsoldat
cleaner,tagalog,male_form,t2,alila
waiter,tagalog,male_form,t2,weyter
baker,tagalog,male_form,t2,panadero
author,tagalog,male_form,t2,mangangatha
doctor/physician,tagalog,male_form,t2,manggagamot
professor,tagalog,male_form,t2,propesor
governor,tagalog,male_form,t2,tagapamahala
judge,tagalog,male_form,t2,huwes
sailor,tagalog,male_form,t2,manlalayag
mechanic,tagalog,male_form,t2,maninigmo
firefighter,tagalog,male_form,t2,bombero
secretary,turkish,male_form,t2,yazman
doctor/physician,turkish,male_form,t2,hekim
sailor,turkish,male_form,t2,gemici
dancer,chinese,male_form,t2,舞蹈演员
singer,chinese,male_form,t2,歌唱家
cleaner,chinese,male_form,t2,环卫工
author,chinese,male_form,t2,作者
nurse,german,male_form,t2,krankenpfleger
secretary,german,male_form,t2,geschäftsführer
waiter,german,male_form,t2,kellner
author,german,male_form,t2,autor
athlete,german,male_form,t2,athlet
lawyer,german,male_form,t2,jurist
sailor,german,male_form,t2,matrose
postman/postwoman,german,male_form,t2,postbote
doctor/physician,french,female_form,t2,médecin
dancer,"Serbian (latin)
",female_form,t2,igračica
doctor/physician,"Serbian (latin)
",female_form,t2,lekarka
postman/postwoman,"Serbian (latin)
",female_form,t2,poštarka
dancer,serbian (cyrillic),female_form,t2,играчица
doctor/physician,serbian (cyrillic),female_form,t2,лекарка
postman/postwoman,serbian (cyrillic),female_form,t2,поштарка
cleaner,italian,female_form,t2,addetta_alle_pulizie
baker,italian,female_form,t2,panettiera
doctor/physician,italian,female_form,t2,medico
governor,italian,female_form,t2,direttrice
nurse,dutch,female_form,t2,verpleegster
journalist,dutch,female_form,t2,journaliste
author,dutch,female_form,t2,auteur
athlete,dutch,female_form,t2,sportster
lawyer,dutch,female_form,t2,advocate
doctor/physician,dutch,female_form,t2,dokter
professor,dutch,female_form,t2,lerares
sailor,dutch,female_form,t2,schipper
nurse,norwegian,female_form,t2,barnepleier
waiter,norwegian,female_form,t2,servitør
lawyer,norwegian,female_form,t2,sakfører
doctor/physician,norwegian,female_form,t2,lege
professor,norwegian,female_form,t2,universitetslærer
governor,norwegian,female_form,t2,stattholder
sailor,norwegian,female_form,t2,matros
mechanic,romanian,female_form,t2,mecanica
dancer,swedish,female_form,t2,dansös
nurse,swedish,female_form,t2,barnskoterska
lawyer,swedish,female_form,t2,advokat
doctor/physician,swedish,female_form,t2,läkare
judge,swedish,female_form,t2,bedömare
firefighter,swedish,female_form,t2,brandsoldat
cleaner,tagalog,female_form,t2,alila
waiter,tagalog,female_form,t2,weyter
baker,tagalog,female_form,t2,panadero
author,tagalog,female_form,t2,mangangatha
doctor/physician,tagalog,female_form,t2,manggagamot
professor,tagalog,female_form,t2,propesor
governor,tagalog,female_form,t2,tagapamahala
judge,tagalog,female_form,t2,huwes
sailor,tagalog,female_form,t2,manlalayag
mechanic,tagalog,female_form,t2,maninigmo
firefighter,tagalog,female_form,t2,bombero
nurse,turkish,female_form,t2,hastabakici
secretary,turkish,female_form,t2,yazman
waiter,turkish,female_form,t2,bayan_garson
author,turkish,female_form,t2,bayan_yazar
doctor/physician,turkish,female_form,t2,hekim
sailor,turkish,female_form,t2,gemici
dancer,chinese,female_form,t2,舞蹈演员
singer,chinese,female_form,t2,歌唱家
cleaner,chinese,female_form,t2,环卫工
author,chinese,female_form,t2,作者
nurse,german,female_form,t2,krankenschwester
cleaner,german,female_form,t2,reinigungskraft
secretary,german,female_form,t2,geschäftsführerin
waiter,german,female_form,t2,kellnerin
author,german,female_form,t2,autorin
athlete,german,female_form,t2,athletin
lawyer,german,female_form,t2,juristin
sailor,german,female_form,t2,seglerin
postman/postwoman,german,female_form,t2,postbotin
professor,dutch,male_form,t3,meester
sailor,dutch,male_form,t3,matroos
waiter,norwegian,male_form,t3,kelner
lawyer,norwegian,male_form,t3,advokat
doctor/physician,tagalog,male_form,t3,mediko
professor,tagalog,male_form,t3,katedratiko
sailor,tagalog,male_form,t3,marinero
lawyer,german,male_form,t3,anwalt
sailor,german,male_form,t3,segler
athlete,dutch,female_form,t3,atleet
professor,dutch,female_form,t3,juf
sailor,dutch,female_form,t3,matroos
waiter,norwegian,female_form,t3,kelner
lawyer,norwegian,female_form,t3,advokat
doctor/physician,tagalog,female_form,t3,mediko
professor,tagalog,female_form,t3,katedratiko
sailor,tagalog,female_form,t3,marinero
lawyer,german,female_form,t3,anwältin
sailor,german,female_form,t3,seefahrerin
sailor,tagalog,male_form,t4,marino
sailor,german,male_form,t4,seefahrer
athlete,dutch,female_form,t4,sporter
sailor,tagalog,female_form,t4,marino
